community	analysis_all	analysis_conservative	note
community.0	YES	NO	Group10 for C26, CO8, CO84, and E7; B3 absent
community.1	YES	NO	Group2 plus B3 Group10; mixed chromosome assignment
community.2	YES	YES	Chromosome-scale community
community.3	YES	YES	Chromosome-scale community
community.4	YES	YES	Chromosome-scale community
community.5	YES	YES	Chromosome-scale community
community.6	YES	YES	Chromosome-scale community
community.7	YES	YES	Chromosome-scale community
community.8	YES	YES	Chromosome-scale community
community.9	YES	YES	Chromosome-scale community
community.12	YES	YES	Chromosome-scale community
